licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad,municipio_poligono,municipio_coincide
HB-004548,hotel_at,Barcelona,"Carrer Casp 38, Barcelona",41.39020411,2.17201869,,True,True,Barcelona,True
HB-004550,hotel_at,Barcelona,"Carrer Consell de Cent 278, Barcelona",41.38922469,2.16340004,,True,True,Barcelona,True
HB-004365,hotel_at,Barcelona,"Carrer Rosselló 242, Barcelona",41.39620261,2.16134209,,True,True,Barcelona,True
HB-004677,hotel_at,Barcelona,"Carrer Consell de Cent 185, Barcelona",41.38367246,2.15565751,,True,True,Barcelona,True
HB-004644,hotel_at,Barcelona,"Carrer Bruc 150, Barcelona",41.39746349,2.16555402,,True,True,Barcelona,True
HB-004646,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 592, Barcelona",41.3863569,2.16463484,,True,True,Barcelona,True
HB-004651,hotel_at,Barcelona,"Carrer Bruc 84, Barcelona",41.39442605,2.1695775,,True,True,Barcelona,True
HB-004654,hotel_at,Barcelona,"Carrer Rosselló 254, Barcelona",41.39684498,2.16219944,,True,True,Barcelona,True
HB-004656,hotel_at,Barcelona,"Carrer del Consell de Cent 322, Barcelona",41.39206317,2.16717488,,True,True,Barcelona,True
HB-004658,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 547, Barcelona",41.38353186,2.15999195,,True,True,Barcelona,True
HB-004659,hotel_at,Barcelona,"Carrer Olzinelles 56, Barcelona",41.37201764,2.13687292,,True,True,Barcelona,True
HB-004660,hotel_at,Barcelona,"Carrer Roger de Flor 215, Barcelona",41.40136919,2.16908663,,True,True,Barcelona,True
HB-004663,hotel_at,Barcelona,"Carrer Corsega 284, Barcelona",41.39459694,2.15696271,,True,True,Barcelona,True
HB-004665,hotel_at,Barcelona,"Carrer Diputació 346, Barcelona",41.39644632,2.17528966,,True,True,Barcelona,True
HB-004666,hotel_at,Barcelona,"Carrer Gran Via Corts Catalanes 584, Barcelona",41.38494047,2.16275026,,True,True,Barcelona,True
HB-004670,hotel_at,Barcelona,"Carrer Corsèga 271, Barcelona",41.39382802,2.15557433,,True,True,Barcelona,True
HB-004675,hotel_at,Barcelona,"Carrer Balmes 129, Barcelona",41.39289208,2.15771277,,True,True,Barcelona,True
HUTB-066360,vut,Barcelona,"Passeig de Joan de Borbó Comte de Barcelona 3, Barcelona",41.38124231,2.18714221,,True,True,Barcelona,True
HB-004679,hotel_at,Barcelona,"Gran Via CORTS CATALANES 435, Barcelona",41.37842735,2.15320505,,True,True,Barcelona,True
HB-004638,hotel_at,Barcelona,"Carrer BRUC 65, Barcelona",41.393756,2.17009729,,True,True,Barcelona,True
HB-004683,hotel_at,Barcelona,"Carrer Santa Anna 27, Barcelona",41.38564644,2.17182096,,True,True,Barcelona,True
HB-004684,hotel_at,Barcelona,"Carrer Roger de Llúria 46, Barcelona",41.39230414,2.17012872,,True,True,Barcelona,True
HB-004687,hotel_at,Barcelona,"Avinguda Coll del Portell 67, Barcelona",41.41141182,2.15136171,,True,True,Barcelona,True
HB-004693,hotel_at,Barcelona,"Rambla de Badal 65, Barcelona",41.36816507,2.13297491,,True,True,Barcelona,True
HB-004695,hotel_at,Barcelona,"Carrer Bruc 96, Barcelona",41.39482523,2.16905209,,True,True,Barcelona,True
