Hotel Plaza de Goya 2, Carrer Sepúlveda 187, Barcelona
Hotel The Mirror Barcelona, Carrer Corsega 255, Barcelona
Hotel Edifici La República, Carrer de Pujades 120, Barcelona
Hotel Barcelona Centro, Carrer Pau Clarís 104, Barcelona
Hotel Brustar Centric, Ronda Sant Pere 60, Barcelona
Hotel AinB, Carrer Muntaner 4, Barcelona
Hotel The 8 BedBreakfast Barcelona, Carrer Aragó 281, Barcelona
Hostal Acropolis, Carrer Verdi 254, Barcelona
Hotel Thesuites, Carrer Pau Claris 72, Barcelona
Hotel HOUSE BY PILLOW, Carrer Rubio i Ors 3, Barcelona
Hotel Apartamentos Ramblas 108, Carrer Rambla 106-108, Barcelona
Hotel The5rooms, Carrer Pau Claris 72, Barcelona
Hotel Exprés, Carrer Riera Sant Miquel 74, Barcelona
Hotel Pillow Ramblas, Passatge Banca 2-4, Barcelona
Hotel Umma Barcelona BedBreakfast Boutique, Avinguda Diagonal 433B, Barcelona
Hotel La Casita Amarilla, Carrer Padua 83, Barcelona
Hotel Sunotel Club Central, Carrer València 157-159, Barcelona
Hotel Bella Lola, Passeig Gràcia 115, Barcelona
Hotel Petit Príncep, Avinguda Diagonal 578, Barcelona
Hotel AMRA, Carrer CASPE 28, Barcelona
Hotel Picasso K + K, Passeig Picasso 26-30, Barcelona
Hotel Natura Barcelona, Carrer Roger de Lluria 33, Barcelona
Green House Hotel, Carrer de Lepant 143, Barcelona
Hotel Exprés 1, Carrer Riera Sant Miquel 74, Barcelona
Hotel Exprés 2, Carrer Riera Sant Miquel 74, Barcelona
Hotel Exprés 3, Carrer Riera Sant Miquel 74, Barcelona
Hotel Exprés 4, Carrer Riera Sant Miquel 74, Barcelona
Hotel Izara, Ronda Sant Pere 7, Barcelona
Hotel Argó 305, Carrer Valencia 305, Barcelona
Hotel Urgell Premium 18, Carrer Comte Urgell 18, Barcelona
Hotel The Moods, Rambla Catalunya 84, Barcelona
Hotel Pillow Rooms, Ronda Sant Pere 70, Barcelona
Hotel Barcelona 226, Carrer Aribau 226, Barcelona
Hotel Bruc, Carrer BRUC 65, Barcelona
Hotel The Corner 592, Carrer Gran Via Corts Catalanes 592, Barcelona
Hotel Casa Saltor, Carrer Gran Via Corts Catalanes 558, Barcelona
Hotel Good-Home, Carrer Rosselló 254, Barcelona
Hotel THE STREETS, Carrer del Consell de Cent 322, Barcelona
Hotel Smart Room Barcelona, Carrer Olzinelles 56-58, Barcelona
Hotel The Conica Deluxe Bed  Breakfast, Carrer Corsèga 271, Barcelona
Hotel Consell, Carrer Consell de Cent 185, Barcelona
Hotel Casa Gràcia, Passeig Gràcia 116 Bis, Barcelona
Hostal BCN Llúria, Carrer Roger de Llúria 46, Barcelona
Hotel Cotton House, Carrer Gran Via Corts Catalanes 670, Barcelona
Hotel BacHome Barcelona BB, Carrer Bruc 96, Barcelona
Hotel Forget Me Not Plus 1, Carrer Balmes 129 Bis, Barcelona
Hotel Forget Me Not Plus 2, Carrer Balmes 129 Bis, Barcelona
Hotel RETROME, Carrer de Girona 85, Barcelona
Hotel RETROME, Carrer de Girona 81, Barcelona
Hotel RETROME, Carrer de Girona 81, Barcelona
Hotel Canigó, Passatge Flaugier 31, Barcelona
Hostal Ginebra Lux, Rambla Catalunya 1, Barcelona
Hostal Ginebra Superior, Rambla Catalunya 1, Barcelona
Hotel Sense especificar, Carrer Ausias March 25, Barcelona
Hotel Ibis Styles Barcelona Centre, Carrer Provença 340, Barcelona
Hotel Flats Rent Store, Avinguda Diagonal 320 Bis, Barcelona
Hotel Chi, Carrer Gran Via Corts Catalanes 455, Barcelona
Hotel H10 Casa Mimosa, Carrer Pau Claris 179, Barcelona
Hotel MY PILLOW GUESTHOUSE, Carrer de Malgrat 40, Barcelona
Hotel Bcn NiceCozy, Carrer Chapí 83-85, Barcelona
Hotel Od Barcelona, Carrer Aragó 300, Barcelona
Hostal Oliveta, Carrer Poeta Cabanyes 18, Barcelona
Hotel Boutique 2015, Ronda Universitat 9, Barcelona
45 Times Barcelona Hotel, Plaça CATALUNYA 10 - 11, Barcelona
Hotel COOLROOMS MALDA, Carrer DEL PI 5, Barcelona
HOTEL PRAKTIK ÈSSENS, Passeig Passeig de Gràcia 24, Barcelona
ALBERGUE DELFOS, Ronda de Sant Antoni 61, Barcelona
Hotel CASA VOLVER, Carrer La Rambla 129, Barcelona
HOTEL CASA LUZ, Ronda Universitat 1, Barcelona
Hotel BELVILLAGE, Carrer Diputació 453, Barcelona
Hotel Bed  stayup Gràcia, Carrer Gran de Gràcia 26, Barcelona
HOSTAL DIAGONAL, Avinguda Diagonal 369, Barcelona
Hotel LIMEHOME BARCELONA, Carrer Besalú 82, Barcelona
Hotel Bypillow Maragall, Passeig Maragall 103, Barcelona
