licencia_id,origen,municipio,direccion_consultada,lat,lon,etiqueta_icgc,geocodificado,en_ciudad
HUTB-006746,vut,Vilanova i la Geltrú,"Carrer Roger de Lluria 1, Vilanova i la Geltrú",41.21314399,1.71963521,,True,False
HUTB-006996,vut,Sant Adrià de Besòs,"Avinguda Eduard Maristany 21, Sant Adrià de Besòs",41.41498003,2.22236289,,True,True
HUTB-006706,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-007019,vut,Pineda de Mar,"Carrer Osona 50, Pineda de Mar",41.62369802,2.66585062,,True,False
HUTB-007037,vut,Arenys de Mar,"Carrer Rial Sa Clavella s/n, Arenys de Mar",41.5800055,2.55043425,,True,False
HUTB-007038,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007039,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007040,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007041,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007042,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007043,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007044,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007045,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-007046,vut,Calella,"Carrer Sant Josep 90, Calella",41.61551826,2.65997462,,True,False
HUTB-006707,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006705,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006675,vut,Calella,"Carrer Diputació 92, Calella",41.61046722,2.64926211,,True,False
HUTB-006690,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006677,vut,Sant Andreu de Llavaneres,"Passeig Marítim 22, Sant Andreu de Llavaneres",41.55355256,2.49540612,,True,False
HUTB-006678,vut,Badalona,"Carrer Tànger 28, Badalona",41.45888673,2.23905579,,True,True
HUTB-006680,vut,Calella,"Carrer Diputació 108, Calella",41.61030159,2.64882359,,True,False
HUTB-006682,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006683,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006684,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006685,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006686,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006687,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006688,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006689,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006692,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006704,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006693,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006694,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
HUTB-006695,vut,Santa Susanna,"Passeig Marítim s/n, Santa Susanna",,,,False,False
