osm_id,tipo_local,nombre_comercial,tipo_cocina,calle,numero,codigo_postal,municipio,telefono,sitio_web,latitud,longitud,municipio_poligono,codi_ine,barrio,distrito
12804513201,bar,El Racó de Fontajau,spanish,Rambla de Xavier Cugat,28,17007,,,,41.9924024,2.8159605,,,,
12804602048,restaurant,La Gioia,pizza,,,,,,,41.9849943,2.8184335,,,,
12804773916,restaurant,La Taverna,catalan,,,,,,,41.8890295,2.622965,,,,
12805804180,cafe,L'embolic,,,,,,,,41.9842375,2.8156492,,,,
12805848401,cafe,Cafè del Centre,,,,,,,,41.7003835,2.7152506,Tordera,082845,,
12805851501,cafe,,,,,,,,,41.7017638,2.716042,Tordera,082845,,
12805951757,restaurant,Foster's Hollywood,american,,,,,,,41.5544798,2.4335152,Mataró,081213,,
12806048901,restaurant,CASA CHELI,mediterranean,Carrer de Roger de Flor,226,,,+34936607726,https://www.casacheli.com/,41.4012061,2.1697621,Barcelona,080193,la Dreta de l'Eixample,Eixample
12811942085,cafe,Bacchio,,,,,,,,41.6743257,2.7909528,,,,
12814921714,restaurant,La Nau,,,,,,,,42.032709,2.8923152,,,,
12825287570,pub,El Pavelló,,,,,,,,42.0298321,2.3684046,l'Esquirol,082541,,
12828758101,fast_food,el Sazón de Isabel,mexican,Carrer de Natzaret,,,,,,41.360181,2.1281049,l'Hospitalet de Llobregat,081017,,
12829983813,restaurant,Els Manyos,spanish;steak_house;barbecue,Avinguda Dolça de Provença,166,08629,Torrelles de Llobregat,+34 936 89 10 26,https://www.instagram.com/restaurantelsmanyos/,41.3619037,1.996927,Torrelles de Llobregat,082896,,
12829983853,restaurant,Cal Vicenç,spanish,Carrer de Can Cartró,29,08629,Torrelles de Llobregat,+34 938 58 66 60,,41.361781,1.9979314,Torrelles de Llobregat,082896,,
12836395424,fast_food,The Burger Maker,burger,,,,,,,41.3817216,2.1706013,Barcelona,080193,el Raval,Ciutat Vella
12836426347,restaurant,The Toast Maker,,,,,,,,41.3816575,2.1704635,Barcelona,080193,el Raval,Ciutat Vella
12836426348,restaurant,Panda há,,,,,,,,41.3819129,2.1709971,Barcelona,080193,el Raval,Ciutat Vella
12836439163,pub,El kit-kat,,,,,,,,41.3819329,2.1710821,Barcelona,080193,el Raval,Ciutat Vella
12836448237,restaurant,Austins heritage diner,american,,,,,,,41.3816232,2.1703717,Barcelona,080193,el Raval,Ciutat Vella
12837309875,cafe,Labath,,,,,,,,41.4004874,2.1993727,Barcelona,080193,el Poblenou,Sant Martí
12839995025,restaurant,La Madrina,,,,,,,,41.378234,2.1885987,Barcelona,080193,la Barceloneta,Ciutat Vella
12840302399,restaurant,El Racó de la Bodega,spanish,,,,,,,41.6387529,2.7325326,Malgrat de Mar,081108,,
12840325902,restaurant,Visatamar,spanish;fish;pizza,,,,,,,41.6386101,2.7326412,Malgrat de Mar,081108,,
12840499950,restaurant,Rocco's Saloon,burger,,,,,+34 722 63 96 26,https://roccosranch.es/restaurant,41.5651441,2.2494874,Parets del Vallès,081593,,
12841616405,restaurant,Sakura,sushi;asian;chinese,Carrer del Bruc,17,08470,Sant Celoni,,,41.6928878,2.494615,Sant Celoni,082021,,
12842597732,pub,Bar Cantonada,,,,,,,,41.4378257,2.221669,Badalona,080155,,
12844787201,bar,Sacre Bar,,,,,,,,42.0280491,2.8536997,,,,
12846462201,cafe,360 Brindis bar,,,,,,,,41.5990795,2.5429261,Arenys de Munt,080076,,
12849546023,fast_food,Aloha Poké,poke,Carrer de Gutenberg,19,,,+34931471796,,41.5605635,2.0068943,Terrassa,082798,,
12849546024,fast_food,Aloha Poké,poke,Plaça d’Artós,10,,,+34932059423,,41.3956303,2.1254743,Barcelona,080193,Sarrià,Sarrià-Sant Gervasi
12849546027,fast_food,Aloha Poké,poke,Carrer Sastre,4,,,+34938783243,,41.6081504,2.2881866,Granollers,080961,,
12849546030,fast_food,Aloha Poké,poke,Carrer de Sant Joan Baptista de La Salle,15,,,+34972046407,,41.9772312,2.8215608,,,,
12849546033,fast_food,Aloha Poké,poke,Carrer Gran de Sant Andreu,75,,,+34938247060,,41.4296779,2.1897706,Barcelona,080193,Sant Andreu,Sant Andreu
12849546037,fast_food,Aloha Poké,poke,Carrer de Parcerisa,48,,,+34936766736,,41.3657762,2.1356468,Barcelona,080193,la Bordeta,Sants-Montjuïc
12849546039,fast_food,Aloha Poké,poke,Ronda de la Universitat,7,,,+34934194102,,41.3863414,2.1653319,Barcelona,080193,la Dreta de l'Eixample,Eixample
12849621352,restaurant,Restaurant La Trona,,Carrer Francesc Camprodon,93,,,,,41.8146905,2.5179982,,,,
12850492394,cafe,Forn Nora,,Carrer Francesc Camprodon,66/68,,,,,41.8149821,2.5173548,,,,
12850657416,cafe,Kepler,,,,,,,,41.3871196,2.149485,Barcelona,080193,la Nova Esquerra de l'Eixample,Eixample
12851066301,restaurant,Patagonia,,,,,,,,41.6996154,2.8500499,,,,
12851695101,restaurant,La Lolita,regional;spanish,Rambla de Catalunya,27,08007,,+34933429204,https://lalolitarestaurante.com/,41.3890681,2.1659252,Barcelona,080193,la Dreta de l'Eixample,Eixample
12853087690,restaurant,Miski Mikuy,,,,,,,,41.4077038,2.1682368,Barcelona,080193,el Baix Guinardó,Horta-Guinardó
12854700801,restaurant,Can Tornem-hi,spanish,Avinguda de l'Exèrcit,8,08034,,,,41.3862796,2.1119205,Barcelona,080193,Pedralbes,Les Corts
12854701401,restaurant,Bar Restaurant Gabi,georgian,Carrer de la Muntanya,62,08026,,,,41.4120433,2.184862,Barcelona,080193,el Camp de l'Arpa del Clot,Sant Martí
12855666401,restaurant,Güell Tapas,spanish;tapas,Carrer Nou de la Rambla,20,08001,,+34 931 161 818,https://www.guelltapasbarcelona.com,41.3786247,2.1737031,Barcelona,080193,el Raval,Ciutat Vella
12855742901,cafe,Mozaik Coffee Bakery,,,,,,,https://mozaikbakery.com/,41.6997448,2.8415606,,,,
12857708801,restaurant,Restaurant La Noguera,,Carrer de Sant Jordi,2,08188,,+34 935729000,https://www.restaurantlanoguera.com/,41.5337126,2.2917985,Vallromanes,082969,,
