fuente,serie,unidad,anyo,periodo,provisional,fecha,valor,mes
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M05,False,2021-04-30 22:00:00+00:00,223626.0,2021-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M06,False,2021-05-31 22:00:00+00:00,374538.0,2021-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M07,False,2021-06-30 22:00:00+00:00,740851.0,2021-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M08,False,2021-07-31 22:00:00+00:00,1086940.0,2021-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M09,False,2021-08-31 22:00:00+00:00,852758.0,2021-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M10,False,2021-09-30 22:00:00+00:00,1022409.0,2021-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M11,False,2021-10-31 23:00:00+00:00,885525.0,2021-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2021,M12,False,2021-11-30 23:00:00+00:00,696756.0,2021-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M01,False,2021-12-31 23:00:00+00:00,539941.0,2021-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M02,False,2022-01-31 23:00:00+00:00,818848.0,2022-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M03,False,2022-02-28 23:00:00+00:00,1164234.0,2022-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M04,False,2022-03-31 22:00:00+00:00,1501096.0,2022-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M05,False,2022-04-30 22:00:00+00:00,1644076.0,2022-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M06,False,2022-05-31 22:00:00+00:00,1709992.0,2022-05
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M07,False,2022-06-30 22:00:00+00:00,1797494.0,2022-06
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M08,False,2022-07-31 22:00:00+00:00,1880748.0,2022-07
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M09,False,2022-08-31 22:00:00+00:00,1612731.0,2022-08
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M10,False,2022-09-30 22:00:00+00:00,1661552.0,2022-09
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M11,False,2022-10-31 23:00:00+00:00,1232499.0,2022-10
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2022,M12,False,2022-11-30 23:00:00+00:00,1065230.0,2022-11
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M01,False,2022-12-31 23:00:00+00:00,1072502.0,2022-12
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M02,False,2023-01-31 23:00:00+00:00,1216079.0,2023-01
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M03,False,2023-02-28 23:00:00+00:00,1429513.0,2023-02
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M04,False,2023-03-31 22:00:00+00:00,1693523.0,2023-03
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M05,False,2023-04-30 22:00:00+00:00,1708104.0,2023-04
viajeros_pernoctaciones,Nacional. Pernoctaciones. Barcelona. Residentes en el extranjero.,Pernoctaciones,2023,M06,False,2023-05-31 22:00:00+00:00,1697687.0,2023-05
