DATA_EXPLO,OCUPACIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,EMPLACAMENT,SUPERFICIE_OCUPADA,TAULES,CADIRES,TAULES_VORERA,CADIRES_VORERA,TAULES_CALCADA,CADIRES_CALCADA,ORDENACIO,VIGENCIA,X_ETRS89,Y_ETRS89,LATITUD,LONGITUD
1/7/2026 0:00:00,Terrasses en Via Pública,8,Nou Barris,44,Vilapicina i la Torre Llobeta,"PG. FABRA I PUIG, 95",14.85,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,31711788,86823192,41.4300717448475,2.18269438796672
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,59,el Bon Pastor,"C. FLIX, 33",18.0,8.0,32.0,8.0,32.0,0.0,0.0,General,Anual,33483747,87401381,41.4354280103123,2.20383640921095
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. DIPUTACIO, 291",8.32,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,30522872,82604344,41.3919721215916,2.16895072689181
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","PG. BORN, 27-29",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,31694474,81859033,41.3853596758068,2.18304748328723
1/7/2026 0:00:00,Terrasses en Via Pública,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,"PL. CAMP, 5",6.75,3.0,12.0,3.0,12.0,0.0,0.0,General,Anual,27781467,83903550,41.4034320501794,2.13600801425855
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,7,la Dreta de l'Eixample,"C. ROGER DE LLURIA, 82",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,30296057,82973657,41.3952787749904,2.16619545213263
1/7/2026 0:00:00,Terrasses en Via Pública,7,Horta-Guinardó,33,el Baix Guinardó,"C. ALCALDE DE MOSTOLES, 2",9.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,30401982,84617753,41.4100957530807,2.16727337785619
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,2,el Barri Gòtic,"VIA. LAIETANA, 19",16.0,4.0,16.0,4.0,16.0,0.0,0.0,General,Anual,31361989,81660979,41.3835475615382,2.17909370017736
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. VALENCIA, 512",4.5,2.0,8.0,2.0,8.0,0.0,0.0,General,Anual,31485350,84067264,41.4052307560093,2.18029670293041
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,70,el Besòs i el Maresme,"C. VENEÇUELA, 165",4.8,4.0,8.0,4.0,8.0,0.0,0.0,General,Anual,34237505,85074809,41.4145353060321,2.21311070452261
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,72,Sant Martí de Provençals,"C. PROVENÇALS, 266",17.8,6.0,24.0,4.0,16.0,2.0,8.0,General,Anual,32838781,85346883,41.4168701188982,2.19634545630207
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,71,Provençals del Poblenou,"C. PARAGUAI, 17",13.5,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,33737159,85345039,41.4169280931495,2.20709470015531
1/7/2026 0:00:00,Terrasses en Via Pública,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"C. ALABA, 75",16.2,6.0,24.0,6.0,24.0,0.0,0.0,General,Anual,32525723,83158370,41.3971326034207,2.19284374398155
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,10,Sant Antoni,"RDA. SANT ANTONI, 41",68.85,17.0,68.0,17.0,68.0,0.0,0.0,General,Anual,30051930,81573861,41.3826500822574,2.16343712102735
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,6,la Sagrada Família,"C. PROVENÇA, 424",7.22,3.0,10.0,3.0,10.0,0.0,0.0,General,Anual,30768213,83749790,41.4023099353021,2.17175410573488
1/7/2026 0:00:00,Terrasses en Via Pública,2,Eixample,10,Sant Antoni,"AV. PARAL.LEL, 84",22.5,10.0,40.0,10.0,40.0,0.0,0.0,General,Anual,30337382,80740259,41.3751668543222,2.16694653176454
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,1,el Raval,"RBLA. RAVAL, 14",27.0,12.0,48.0,12.0,48.0,0.0,0.0,General,Anual,30534057,81092683,41.3783580322682,2.169257822482
1/7/2026 0:00:00,Terrasses en Via Pública,1,Ciutat Vella,3,la Barceloneta,"PG. JOAN BORBO COMTE BARCELONA, 2",32.5,9.0,30.0,9.0,30.0,0.0,0.0,General,Anual,32023655,81429138,41.3815156110918,2.18703242431916
1/7/2026 0:00:00,Terrasses en Via Pública,9,Sant Andreu,63,Navas,"C. JUAN DE GARAY, 11",9.15,5.0,16.0,5.0,16.0,0.0,0.0,General,Anual,31601213,85529750,41.4184127540466,2.18151741373015
