id,host_id,host_perfil,regimen,cesion_entera,estado_actividad,sujeto_a_ley_vut,motivo_exclusion,neighbourhood_group,neighbourhood,room_type,property_type,accommodates,bedrooms,minimum_nights,uso_turistico,borde_31_noches,licencia_regional,vivienda_id,anuncios_de_la_vivienda,es_repeticion,precio_anuncio,precio_por_plaza,precio_plaza_anual,banda_plaza,factor_temporada,number_of_reviews_ltm,availability_365,license,situacion,sujeto_a_vut,sin_licencia,actividad_reciente
579521527562779447,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,1.0,25.0,True,False,HUTB-010176,HUTB-010176,5,True,132.84,33.21,27.95,€,1.188,0,342,Barcelona - Regional registration number<br />HUTB-010176,licencia_verificada,True,False,False
579541456792043902,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,6.0,2.0,25.0,True,False,HUTB-010177,HUTB-010177,5,True,147.0,24.5,20.62,€,1.188,0,365,Barcelona - Regional registration number<br />HUTB-010177,licencia_verificada,True,False,False
579554179518940516,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,5.0,3.0,24.0,True,False,HUTB-010180,HUTB-010180,7,True,103.75,20.75,17.46,€,1.188,0,339,Barcelona - Regional registration number<br />HUTB-010180,licencia_verificada,True,False,False
579567254446636456,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,5.0,3.0,25.0,True,False,HUTB-010173,HUTB-010173,6,True,176.68,35.34,29.74,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-010173,licencia_verificada,True,False,False
579584391572279167,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,2.0,25.0,True,False,HUTB-008712,HUTB-008712,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-008712,licencia_verificada,True,False,False
579599084588633621,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,2.0,25.0,True,False,HUTB-008502,HUTB-008502,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-008502,licencia_verificada,True,False,False
579628803377911092,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,1.0,25.0,True,False,HUTB-001080,HUTB-001080,6,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-001080,licencia_verificada,True,False,False
579664351737441185,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,6.0,3.0,25.0,True,False,HUTB-003953,HUTB-003953,3,True,176.68,29.45,24.79,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-003953,licencia_verificada,True,False,False
579707891554555887,463308.0,,sin_declarar,True,inactivo,False,estancia_de_32_noches,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,2.0,2.0,32.0,False,False,,anuncio:579707891554555887,1,False,,,,,1.188,0,0,,sin_declarar,False,False,False
580237583701880642,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire condo,4.0,1.0,25.0,True,False,HUTB-010178,HUTB-010178,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-010178,licencia_verificada,True,False,False
580271680701711500,665793.0,mixto,sin_declarar,True,inactivo,False,sin_actividad,Eixample,Sant Antoni,Entire home/apt,Entire rental unit,4.0,2.0,31.0,True,True,Exempt - seasonal rental,anuncio:580271680701711500,1,False,109.72,27.43,23.09,€,1.188,0,265,Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
580278213206159101,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,6.0,3.0,31.0,True,True,,anuncio:580278213206159101,1,False,119.45,19.91,16.76,€,1.188,0,285,Spain - National registration number<br />ESHFNT00000805600028549900100000000000000000000000003,sin_declarar,True,False,False
580296106693925939,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Gràcia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,Entire condo,6.0,3.0,25.0,True,False,HUTB-009984,HUTB-009984,3,True,176.68,29.45,24.79,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009984,licencia_verificada,True,False,False
581025528627007525,1920353.0,mixto,vivienda_uso_turistico,True,activo,False,repeticion_de_vivienda,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,2.0,1.0,3.0,True,False,HUTB-000000,HUTB-000000,30,True,217.5,108.75,91.53,€€€,1.188,42,46,Barcelona - Regional registration number<br />HUTB-000000<br /><br />Spain - National registration number<br />ESFCTU00A00805400025890100000000000000HUTB-075607-148,licencia_no_encontrada,True,False,True
581931626871207678,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,el Fort Pienc,Entire home/apt,Entire condo,6.0,3.0,25.0,True,False,HUTB-009985,HUTB-009985,3,True,176.68,29.45,24.79,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009985,licencia_verificada,True,False,False
581941121599203815,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Eixample,la Sagrada Família,Entire home/apt,Entire condo,6.0,3.0,25.0,True,False,HUTB-009983,HUTB-009983,3,True,176.68,29.45,24.79,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009983,licencia_verificada,True,False,False
581964949931713301,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,Entire condo,4.0,2.0,25.0,True,False,HUTB-009674,HUTB-009674,8,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009674,licencia_verificada,True,False,False
581978531824163170,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Entire home/apt,Entire condo,3.0,2.0,25.0,True,False,HUTB-009674,HUTB-009674,8,True,176.68,58.89,49.57,€€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009674,licencia_verificada,True,False,False
581990183713780420,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,Entire condo,4.0,2.0,25.0,True,False,HUTB-009676,HUTB-009676,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009676,licencia_verificada,True,False,False
582021996388651338,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Sarrià-Sant Gervasi,el Putxet i el Farró,Entire home/apt,Entire condo,4.0,2.0,25.0,True,False,HUTB-009673,HUTB-009673,5,True,176.68,44.17,37.18,€,1.188,0,171,Barcelona - Regional registration number<br />HUTB-009673,licencia_verificada,True,False,False
583100736314339155,3039107.0,mixto,vivienda_uso_turistico,True,activo,False,repeticion_de_vivienda,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,Entire rental unit,4.0,3.0,2.0,True,False,HUTB005683,HUTB005683,2,True,207.5,51.88,43.67,€€,1.188,27,181,Barcelona - Regional registration number<br />HUTB005683,licencia_verificada,True,False,True
583213785175733370,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,3.0,2.0,31.0,True,True,Exempt - seasonal rental,anuncio:583213785175733370,1,False,105.69,35.23,29.65,€,1.188,0,200,Spain - National registration number<br />ESHFNT00000805700052514100500000000000000000000000001<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
584122957381870333,21648055.0,,sin_declarar,True,activo,False,estancia_de_32_noches,Eixample,la Sagrada Família,Entire home/apt,Entire rental unit,2.0,1.0,90.0,False,False,Exempt - seasonal rental,anuncio:584122957381870333,1,False,,,,,1.188,1,21,Spain - National registration number<br />ESFCNT00000807300102751400000000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,False
584130360611905085,271097397.0,,sin_declarar,True,activo,False,estancia_de_32_noches,Gràcia,la Vila de Gràcia,Entire home/apt,Entire loft,2.0,1.0,32.0,False,False,Exempt - seasonal rental,anuncio:584130360611905085,1,False,94.91,47.46,39.95,€,1.188,4,278,Spain - National registration number<br />ESFCNT00000805700048423300000000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,True
585383336483878796,98585331.0,sin_anuncios_turisticos,hotel,False,activo,False,regimen_no_vut,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Private room,Room in hotel,1.0,1.0,1.0,True,False,HB-000098,anuncio:585383336483878796,1,False,90.0,90.0,75.75,€€€,1.188,41,125,Barcelona - Regional registration number<br />HB-000098<br /><br />Spain - National registration number<br />Exempt - hotel,licencia_otro_regimen,False,False,True
586640178308379157,385734768.0,solo_con_licencia,sin_declarar,True,activo,False,estancia_de_32_noches,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Entire home/apt,Entire rental unit,6.0,3.0,32.0,False,False,Exempt - seasonal rental,anuncio:586640178308379157,1,False,116.0,19.33,16.27,€,1.188,2,129,Spain - National registration number<br />ESFCNT00000811900014431600000000000000000000000000007<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,True
588106770878222950,250042982.0,solo_sin_licencia,sin_declarar,True,activo,False,estancia_de_32_noches,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Entire home/apt,Entire rental unit,2.0,1.0,32.0,False,False,,anuncio:588106770878222950,1,False,90.05,45.02,37.89,€,1.188,1,268,,sin_declarar,False,False,True
588263368399541801,98585331.0,sin_anuncios_turisticos,hotel,False,activo,False,regimen_no_vut,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Private room,Room in hotel,2.0,1.0,1.0,True,False,HB000098,anuncio:588263368399541801,1,False,100.0,50.0,42.08,€€,1.188,49,164,Barcelona - Regional registration number<br />HB000098<br /><br />Spain - National registration number<br />Exempt - hotel,licencia_otro_regimen,False,False,True
588275244388369913,98585331.0,sin_anuncios_turisticos,hotel,False,activo,False,regimen_no_vut,Gràcia,la Vila de Gràcia,Private room,Room in hotel,2.0,1.0,1.0,True,False,HB000098,anuncio:588275244388369913,1,False,100.0,50.0,42.08,€€,1.188,18,155,Barcelona - Regional registration number<br />HB000098<br /><br />Spain - National registration number<br />Exempt - hotel,licencia_otro_regimen,False,False,True
588355086371051031,21726991.0,mixto,vivienda_uso_turistico,True,sin_confirmar,False,repeticion_de_vivienda,Les Corts,les Corts,Entire home/apt,Entire rental unit,3.0,2.0,25.0,True,False,HUTB-123456,HUTB-123456,11,True,147.0,49.0,41.24,€€,1.188,0,364,Barcelona - Regional registration number<br />HUTB-123456,licencia_no_encontrada,True,False,False
588941290836238401,265193861.0,solo_con_licencia,vivienda_uso_turistico,True,inactivo,False,sin_actividad,Eixample,la Nova Esquerra de l'Eixample,Entire home/apt,Entire rental unit,5.0,4.0,3.0,True,False,HUTB-075578,HUTB-075578,1,False,277.67,55.53,46.74,€€,1.188,0,178,Barcelona - Regional registration number<br />HUTB-075578<br /><br />Spain - National registration number<br />ESFCNT00000806000011804600000000000000000000000000003,licencia_verificada,True,False,False
589611090720937209,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,3.0,2.0,31.0,True,True,Exempt - seasonal rental,anuncio:589611090720937209,1,False,,,,,1.188,0,8,Spain - National registration number<br />ESHFNT00000805700052514100700000000000000000000000009<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
589611794358427085,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Gràcia,la Vila de Gràcia,Entire home/apt,Entire rental unit,2.0,1.0,31.0,True,True,,anuncio:589611794358427085,1,False,,,,,1.188,0,2,Spain - National registration number<br />ESHFNT00000805700052514100800000000000000000000000008,sin_declarar,True,False,False
589668991897778748,9400556.0,solo_con_licencia,vivienda_uso_turistico,True,activo,False,repeticion_de_vivienda,Eixample,Sant Antoni,Entire home/apt,Entire rental unit,5.0,3.0,2.0,True,False,HUTB-005724,HUTB-005724,2,True,269.35,53.87,45.34,€€,1.188,14,282,Spain - National registration number<br />ESFCTU00000806900008996700000000000000HUTB-005935-474<br /><br />Barcelona - Regional registration number<br />HUTB-005724,licencia_verificada,True,False,True
590313511300755361,355345015.0,,sin_declarar,False,activo,False,no_es_cesion_entera,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Private room,Private room in rental unit,1.0,,32.0,False,False,Exempt - seasonal rental,anuncio:590313511300755361,1,False,56.94,56.94,47.92,€€,1.188,2,67,Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,False,False,True
592615538797210350,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Eixample,l'Antiga Esquerra de l'Eixample,Entire home/apt,Entire rental unit,3.0,2.0,31.0,True,True,Exempt - seasonal rental,anuncio:592615538797210350,1,False,113.97,37.99,31.97,€,1.188,0,298,Spain - National registration number<br />ESFCNT00000806600051161000000000000000000000000000003<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
593209005125993817,346367515.0,solo_sin_licencia,sin_declarar,True,inactivo,False,sin_actividad,Eixample,la Dreta de l'Eixample,Entire home/apt,Entire rental unit,5.0,3.0,31.0,True,True,Exempt - seasonal rental,anuncio:593209005125993817,1,False,177.58,35.52,29.9,€,1.188,0,199,Spain - National registration number<br />ESFCNT00000805600072821700000000000000000000000000005<br /><br />Barcelona - Regional registration number<br />Exempt - seasonal rental,exencion_declarada,True,False,False
